time,b0,b1,b2,b3,b4,b5,b6,b7
8258,47,DB,3F,48,7D,64,A6,12
8268,B6,DC,3F,48,7D,64,86,12
8278,A4,DD,3F,C8,7D,64,7A,12
8287,71,DE,3F,C8,7D,64,84,12
8298,A1,DF,3F,C8,7D,64,7E,12
8308,B9,D0,3F,C8,7D,64,76,12
8318,BC,D1,3F,08,7E,64,66,12
8327,20,D2,3F,08,7E,64,6E,12
8338,43,D3,3F,08,7E,64,74,12
8348,7F,D4,3F,08,7E,64,6C,12
8358,B6,D5,1F,08,7E,64,68,12
8368,16,D6,1F,08,7E,64,70,12
8377,34,D7,1F,C8,7D,64,6C,12
8388,07,D8,1F,C8,7D,64,3C,12
8398,1C,D9,1F,48,7E,64,1A,12
8407,18,DA,1F,48,7E,64,24,12
8417,A5,DB,1F,48,7E,64,2C,12
8428,47,DC,1F,48,7E,64,3E,12
8438,48,DD,1F,48,7E,64,3C,12
8447,FA,DE,1F,48,7E,64,3C,12
8457,FB,DF,1F,48,7E,64,44,12
8467,AB,D0,1F,48,7E,64,40,12
8477,E9,D1,1F,48,7E,64,44,12
8487,69,D2,1F,48,7E,64,4E,12
8497,9F,D3,1F,08,7E,64,48,12
8507,D1,D4,1F,08,7E,64,3A,12
8517,A2,D5,1F,48,7E,64,3C,12
8527,70,D6,1F,48,7E,64,4E,12
8537,D4,D7,1F,08,7E,64,54,12
8547,5E,D8,1F,08,7E,64,48,12
8557,08,D9,1F,08,7E,64,4E,12
8567,C7,DA,1F,08,7E,64,56,12
8577,2E,DB,1F,08,7E,64,50,12
8587,E8,DC,1F,08,7E,64,44,12
8597,C3,DD,1F,08,7E,64,40,12
8607,DB,DE,1F,08,7E,64,3E,12
8617,6C,DF,1F,08,7E,64,3A,12
8627,4C,D0,1F,08,7E,64,36,12
8637,46,D1,1F,08,7E,64,3E,12
8648,00,D2,1F,08,7E,64,40,12
8657,F3,D3,1F,08,7E,64,42,12
8668,67,D4,1F,08,7E,64,46,12
8677,9F,D5,1F,08,7E,64,3C,12
8688,C3,D6,1F,08,7E,64,36,12
8698,10,D7,1F,08,7E,64,42,12
8708,32,D8,1F,08,7E,64,42,12
8718,5C,D9,1F,08,7E,64,40,12
8728,27,DA,1F,08,7E,64,46,12
8737,A2,DB,1F,08,7E,64,4A,12
8748,E8,DC,1F,08,7E,64,44,12
8757,8B,DD,1F,08,7E,64,4C,12
8768,C5,DE,1F,08,7E,64,5E,12
8777,6E,DF,1F,08,7E,64,58,12
8788,41,D0,1F,C8,7D,64,4C,12
8797,E1,D1,1F,C8,7D,64,3A,12
8807,4A,D2,1F,08,7E,64,2E,12
8817,81,D3,1F,08,7E,64,28,12
8827,3B,D4,1F,48,7E,64,1E,12
8837,51,D5,1F,48,7E,64,1E,12
8847,11,D6,1F,48,7E,64,16,12
8857,18,D7,1F,48,7E,64,14,12
8868,4A,D8,1F,48,7E,64,1C,12
8877,5B,D9,1F,48,7E,64,26,12
8887,20,DA,1F,48,7E,64,20,12
8897,E2,DB,1F,48,7E,64,10,12
8908,54,DC,1F,48,7E,64,0C,12
8917,F3,DD,1F,48,7E,64,12,12
8927,79,DE,1F,48,7E,64,16,12
8938,BE,DF,1F,48,7E,64,1A,12
8947,EE,D0,1F,48,7E,64,1E,12
8957,CF,D1,1F,48,7E,64,20,12
8967,6E,D2,1F,08,7E,64,28,12
8978,35,D3,1F,08,7E,64,36,12
8988,CD,D4,1F,08,7E,64,38,12
8998,63,D5,1F,08,7E,64,2E,12
9008,4F,D6,1F,08,7E,64,2C,12
9018,F2,D7,1F,08,7E,64,30,12
9028,5C,D8,1F,08,7E,64,2A,12
9038,05,D9,1F,08,7E,64,1C,12
9048,7E,DA,1F,08,7E,64,1A,12
9059,DA,DB,1F,48,7E,64,14,12
9068,1C,DC,1F,48,7E,64,00,12
9078,58,DD,1F,48,7E,64,F8,11
9087,9A,DE,1F,48,7E,64,F0,11
9097,AE,DF,1F,48,7E,64,DE,11
9107,81,D0,1F,48,7E,64,E2,11
9117,FB,D1,1F,88,7E,64,DE,11
9127,7B,D2,1F,88,7E,64,D4,11
9138,DC,D3,1F,88,7E,64,D8,11
9147,54,D4,1F,88,7E,64,DE,11
9157,52,D5,1F,88,7E,64,D4,11
9167,46,D6,1F,88,7E,64,D2,11
9177,40,D7,1F,88,7E,64,E0,11
9187,9E,D8,1F,88,7E,64,F2,11
9197,AB,D9,1F,48,7E,64,F2,11
9207,30,DA,1F,48,7E,64,E4,11
9217,C5,DB,1F,48,7E,64,E0,11
9228,FF,DC,1F,48,7E,64,E6,11
9238,F0,DD,1F,48,7E,64,E4,11
9248,7A,DE,1F,48,7E,64,E0,11
9257,CD,DF,1F,48,7E,64,E4,11
9268,A5,D0,1F,48,7E,64,E4,11
9277,BC,D1,1F,48,7E,64,DE,11
9288,2F,D2,1F,48,7E,64,E6,11
9297,C0,D3,1F,48,7E,64,E6,11
9308,37,D4,1F,48,7E,64,D8,11
9317,79,D5,1F,48,7E,64,DE,11
9327,2A,D6,1F,48,7E,64,E4,11
9337,2C,D7,1F,48,7E,64,D6,11
9348,55,D8,1F,88,7E,64,D4,11
9357,10,D9,1F,88,7E,64,E0,11
9367,6B,DA,1F,48,7E,64,DA,11
9377,B8,DB,1F,48,7E,64,BA,11
9388,71,DC,1F,88,7E,64,A2,11
9397,39,DD,1F,88,7E,64,9C,11
9407,BC,DE,1F,88,7E,64,A8,11
9418,2F,DF,1F,88,7E,64,AA,11
9428,13,D0,1F,88,7E,64,A4,11
9438,32,D1,1F,88,7E,64,9A,11
9448,DE,D2,1F,88,7E,64,9A,11
9458,15,D3,1F,88,7E,64,9C,11
9468,DA,D4,1F,88,7E,64,A6,11
9477,F8,D5,1F,88,7E,64,AA,11
9487,DB,D6,1F,88,7E,64,98,11
9497,D2,D7,1F,88,7E,64,9A,11
9508,C8,D8,1F,88,7E,64,9E,11
9517,F2,D9,1F,88,7E,64,92,11
