frame,time,id,len,b0,b1,b2,b3,b4,b5,b6,b7
133,29173,0x0AD,8,A6,E9,BF,FF,00,14,00,00
134,29173,0x0AE,8,32,09,00,00,39,00,00,02
134,29173,0x0AE,8,32,09,00,00,39,00,00,02
135,29175,0x0AF,4,83,75,40,01,00,00,00,00
135,29175,0x0AF,4,83,75,40,01,00,00,00,00
136,29177,0x0A8,8,22,E9,DF,BF,FF,00,00,00
136,29177,0x0A8,8,22,E9,DF,BF,FF,00,00,00
137,29177,0x0A7,8,2A,E9,BF,FF,FE,FB,EF,9F
137,29177,0x0A7,8,2A,E9,BF,FF,FE,FB,EF,9F
138,29183,0x0AD,8,F7,EA,BF,FF,00,14,00,00
138,29183,0x0AD,8,F7,EA,BF,FF,00,14,00,00
139,29183,0x0AE,8,96,0A,00,00,3A,00,00,02
139,29183,0x0AE,8,96,0A,00,00,3A,00,00,02
140,29186,0x0AF,4,83,76,00,00,00,01,FE,3F
140,29186,0x0AF,4,83,76,00,00,00,01,FE,3F
141,29187,0x0A7,8,2C,EA,BF,FF,FE,FB,EF,9F
141,29187,0x0A7,8,2C,EA,BF,FF,FE,FB,EF,9F
142,29187,0x0A8,8,7D,EA,DF,BF,FF,00,00,00
142,29187,0x0A8,8,7D,EA,DF,BF,FF,00,00,00
143,29193,0x0AD,8,42,EB,BF,FF,00,14,00,00
143,29193,0x0AD,8,42,EB,BF,FF,00,14,00,00
144,29193,0x0AE,8,99,0B,00,00,3B,00,00,02
144,29193,0x0AE,8,99,0B,00,00,3B,00,00,02
145,29196,0x0AF,4,83,77,00,00,3B,00,00,02
145,29196,0x0AF,4,83,77,00,00,3B,00,00,02
146,29197,0x0A7,8,42,EB,BF,FF,FE,FB,EF,9F
146,29197,0x0A7,8,42,EB,BF,FF,FE,FB,EF,9F
147,29197,0x0A8,8,B0,EB,DF,BF,FF,00,00,00
147,29197,0x0A8,8,B0,EB,DF,BF,FF,00,00,00
148,29203,0x0AD,8,2F,EC,BF,FF,00,14,00,00
148,29203,0x0AD,8,2F,EC,BF,FF,00,14,00,00
149,29203,0x0AE,8,13,0C,00,00,3C,00,00,02
149,29203,0x0AE,8,13,0C,00,00,3C,00,00,02
150,29207,0x0AF,4,83,78,BF,01,00,00,FF,01
150,29207,0x0AF,4,83,78,BF,01,00,00,FF,01
151,29207,0x0A7,8,FD,EC,BF,FF,FE,FB,EF,9F
151,29207,0x0A7,8,FD,EC,BF,FF,FE,FB,EF,9F
152,29207,0x0A8,8,AE,EC,DF,BF,FF,00,00,00
152,29207,0x0A8,8,AE,EC,DF,BF,FF,00,00,00
153,29213,0x0AD,8,5E,ED,BF,FF,00,14,00,00
153,29213,0x0AD,8,5E,ED,BF,FF,00,14,00,00
154,29213,0x0AE,8,DD,0D,00,00,3D,00,00,02
154,29213,0x0AE,8,DD,0D,00,00,3D,00,00,02
155,29217,0x0AF,4,83,79,BF,01,04,00,00,00
155,29217,0x0AF,4,83,79,BF,01,04,00,00,00
156,29217,0x0A8,8,BD,ED,DF,BF,FF,00,00,00
156,29217,0x0A8,8,BD,ED,DF,BF,FF,00,00,00
157,29217,0x0A7,8,0D,ED,BF,FF,FE,FB,EF,9F
157,29217,0x0A7,8,0D,ED,BF,FF,FE,FB,EF,9F
158,29223,0x0AD,8,84,EE,BF,FF,00,14,00,00
158,29223,0x0AD,8,84,EE,BF,FF,00,14,00,00
159,29223,0x0AE,8,3D,0E,00,00,3E,00,00,02
159,29223,0x0AE,8,3D,0E,00,00,3E,00,00,02
160,29227,0x0A7,8,86,EE,BF,FF,FE,FB,EF,9F
160,29227,0x0A7,8,86,EE,BF,FF,FE,FB,EF,9F
161,29227,0x0A8,8,0F,EE,DF,BF,FF,00,00,00
161,29227,0x0A8,8,0F,EE,DF,BF,FF,00,00,00
162,29227,0x0AF,4,83,7A,00,00,FF,00,00,00
162,29227,0x0AF,4,83,7A,00,00,FF,00,00,00
163,29233,0x0AD,8,D5,EF,BF,FF,00,14,00,00
163,29233,0x0AD,8,D5,EF,BF,FF,00,14,00,00
164,29233,0x0AE,8,72,0F,00,00,3F,00,00,02
164,29233,0x0AE,8,72,0F,00,00,3F,00,00,02
165,29237,0x0A8,8,80,EF,DF,BF,FF,00,00,00
165,29237,0x0A8,8,80,EF,DF,BF,FF,00,00,00
166,29237,0x0A7,8,58,EF,BF,FF,FE,FB,EF,9F
166,29237,0x0A7,8,58,EF,BF,FF,FE,FB,EF,9F
167,29237,0x0AF,4,83,7B,00,00,FE,FB,EF,9F
167,29237,0x0AF,4,83,7B,00,00,FE,FB,EF,9F
168,29243,0x0AD,8,48,E0,BF,FF,00,14,00,00
168,29243,0x0AD,8,48,E0,BF,FF,00,14,00,00
169,29243,0x0AE,8,5D,00,00,00,40,00,00,02
169,29243,0x0AE,8,5D,00,00,00,40,00,00,02
170,29247,0x0A7,8,91,E0,BF,FF,FE,FB,EF,9F
170,29247,0x0A7,8,91,E0,BF,FF,FE,FB,EF,9F
171,29247,0x0A8,8,E8,E0,DF,BF,FF,00,00,00
171,29247,0x0A8,8,E8,E0,DF,BF,FF,00,00,00
172,29247,0x0AF,4,83,7C,31,01,FF,00,00,00
172,29247,0x0AF,4,83,7C,31,01,FF,00,00,00
173,29253,0x0AD,8,86,E1,BF,FF,00,14,00,00
173,29253,0x0AD,8,86,E1,BF,FF,00,14,00,00
174,29253,0x0AE,8,1F,01,00,00,41,00,00,02
174,29253,0x0AE,8,1F,01,00,00,41,00,00,02
